metryczka.plec,metryczka.wiek,metryczka.miejsce,metryczka.wyksztalcenie,metryczka.nauka,metryczka.praca,metryczka.osoby,metryczka.dzieci,metryczka.zakupy,metryczka.przygotowanie,metryczka.sytuacja,metryczka.wiedza,metryczka.dieta,fcq.dieta_kalorie,fcq.cena_wartosc,fcq.eko_opakowana,fcq.eko_produkowana,fcq.dieta_tluszcz,fcq.pol_pochodzenie,fcq.eko_bezgmo,fcq.dieta_wit-i-min,fcq.dieta_bezdodatkow,fcq.dieta_odzywcza,fcq.dieta_bialko,fcq.dieta_naturalna,fcq.hed_zdziecinstwa,fcq.hed_odprezajaca,fcq.hed_wygodna,frl.nowe_zawartosc,frl.dieta_odzywcza,frl.cena_info,frl.nowe_etykiety,frl.dieta_naturalna,frl.dieta_bezdodatkow,frl.dieta_wartosc,fns.nowe_ufnosc,fns.nowe_przyjecia,cet.pol_bezrobocie,cet.pol_niedostepne,cet.pol_nieprodukowane,mgr.nowe_marki,mgr.hed_przepis,mgr.hed_przyjemnosc,mgr.hed_niesmaczna,mgr.pol_swieza,mgr.pol_tania,mgr.pol_smaczna,mgr.nowe_sklad,mgr.hed_wrazenie,mgr.hed_zakupy,mgr.hed_szybko,ziemniak.cena,ziemniak.miejsce,ziemniak.swiezosc,ziemniak.rodzaj,ziemniak.kraj,ziemniak.barwa,ziemniak.wyglad,ziemniak.spozycie,ziemniak.okres,ziemniak.sklep,ziemniak.opakowanie,ziemniak.obrobka,ziemniak.potrawy,ziemniak.zdrowotnosc,ziemniak.smak,ziemniak.jakosc,ziemniak.produkty,pomidor.cena,pomidor.miejsce,pomidor.swiezosc,pomidor.rodzaj,pomidor.kraj,pomidor.barwa,pomidor.slodkosc,pomidor.miekkosc,pomidor.spozycie,pomidor.okres,pomidor.sklep,pomidor.obrobka,pomidor.potrawy,pomidor.zdrowotnosc,pomidor.smak,pomidor.jakosc,pomidor.produkty,jablko.cena,jablko.miejsce,jablko.swiezosc,jablko.rodzaj,jablko.kraj,jablko.barwa,jablko.miekkosc,jablko.slodkosc,jablko.spozycie,jablko.okres,jablko.sklep,jablko.obrobka,jablko.potrawy,jablko.zdrowotnosc,jablko.smak,jablko.jakosc,jablko.produkty,pomarancza.cena,pomarancza.miejsce,pomarancza.swiezosc,pomarancza.rodzaj,pomarancza.kraj,pomarancza.barwa,pomarancza.miekkosc,pomarancza.slodkosc,pomarancza.spozycie,pomarancza.okres,pomarancza.sklep,pomarancza.obrobka,pomarancza.potrawy,pomarancza.zdrowotnosc,pomarancza.smak,pomarancza.jakosc,pomarancza.produkty,makaron.cena,makaron.miejsce,makaron.swiezosc,makaron.rodzaj,makaron.kraj,makaron.barwa,makaron.marka,makaron.spozycie,makaron.okres,makaron.sklep,makaron.obrobka,makaron.potrawy,makaron.zdrowotnosc,makaron.smak,makaron.jakosc,platki.cena,platki.miejsce,platki.swiezosc,platki.rodzaj,platki.kraj,platki.blonnik,platki.marka,platki.sklep,platki.spozycie,platki.obrobka,platki.potrawy,platki.zdrowotnosc,platki.smak,platki.jakosc,pieczywo.cena,pieczywo.miejsce,pieczywo.swiezosc,pieczywo.rodzaj,pieczywo.kraj,pieczywo.barwa,pieczywo.ziarna,pieczywo.blonnik,pieczywo.sklep,pieczywo.spozycie,pieczywo.opakowanie,pieczywo.obrobka,pieczywo.potrawy,pieczywo.zdrowotnosc,pieczywo.smak,pieczywo.jakosc
1,19,1,0.5,1,0,8,6,0.5,0,1,0,0,0.5,1,0.5,0.5,1,0.5,1,1,1,1,0.5,0.5,0.5,1,1,1,1,0.5,1,1,0.5,0.5,0.5,1,0.5,0,0,1,1,1,1,1,1,0.5,0.5,1,1,0,0.75,0.75,0.75,0.5,0.25,0.75,1,0.166666666666667,0,0.25,0.666666666666667,1,1,0.5,1,1,0.5,0.5,0.5,1,0.5,0.25,0.75,0.5,1,0.0130718954248366,0,0.25,0,0.5,1,1,1,0.5,0.5,0.5,0.75,1,0.25,1,1,0.75,0.24,0,0.25,0,1,1,1,1,0.25,0.5,0.25,0.75,1,0.25,0.75,1,0.75,0.0333333333333333,1,1,0,0,1,1,0.5,0.5,0.75,0,0,1,0.25,0.75,1,0.143790849673203,0,1,0,0.5,0,1,1,0.75,0.25,0.5,1,0,0.75,1,1,0.185185185185185,0,0,0.5,1,1,0.75,1,1,1,0,0.75,0.75,0.5,0.5,0.122857142857143,0,0,0,0,1,1
1,21,0.00771282828772078,0.5,1,0,3,0,0.5,0.5,1,0.5,0,0.5,1,0.5,0.5,0.5,1,1,1,1,1,0.5,1,1,1,0.5,1,1,1,1,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,1,1,0.75,1,0.75,0.166666666666667,0,0.25,0.666666666666667,0,1,0.5,1,1,1,0.75,0.75,1,1,0.75,1,0.25,1,0.0196078431372549,0,0.25,0,1,0.5,1,1,0.666666666666667,1,1,1,1,0.75,0.75,1,0.75,0.24,0,0.25,0,1,0.5,1,1,0.5,0.75,0.75,1,0.75,0.75,1,1,0.5,0.0833333333333333,0,0.75,0.5,0.5,0.5,1,1,0.5,0.75,0.75,1,0.75,0.75,1,1,0.030812324929972,0,0.75,0,1,0.5,1,1,0.75,0.75,0.75,0.75,0.75,1,0.5,0.75,0.0555555555555556,0,0.5,0.5,1,1,1,1,0.75,0.75,0.75,1,1,1,0.5,0.08,1,0,1,1,1,1
1,24,0,0.75,1,0.5,2,0,0.5,0.5,1,1,0,0,1,1,0.5,0.5,1,0.5,1,1,1,0.5,1,0.5,1,0.5,1,1,1,1,1,1,0.5,0.5,1,0.5,1,1,1,0.5,1,1,0.5,0.5,0.5,1,0,0.5,1,0.75,0.75,1,1,1,0.75,0.75,0.0555555555555556,0,0.25,0.333333333333333,0,1,1,1,1,0.25,1,1,1,1,1,1,0.5,1,0.166666666666667,1,0.25,0,1,1,1,1,0.5,1,1,1,1,1,1,1,0.5,0.133333333333333,0,0.25,0,1,1,1,1,0.5,1,1,1,1,1,1,1,0.5,0.333333333333333,0,1,0,0.5,1,1,1,0.5,1,0.25,0.25,0.5,0,0,0,0.0329131652661064,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0.277777777777778,0,1,1,1,1,1,0.75,1,1,1,1,1,0.75,0.25,0.135714285714286,1,0,0.5,1,1,1
1,22,1,0.75,1,0,3,1,1,1,1,1,0,0.5,1,0.5,0.5,0.5,1,0.5,1,1,1,1,1,0.5,1,0.5,1,1,1,1,1,1,1,0.5,1,0.5,1,1,0.5,0.5,1,1,1,0.5,0.5,1,0.5,1,1,1,0.5,1,0.25,1,0.5,0.75,0.0277777777777778,0,0.75,0.166666666666667,0,1,1,1,1,0.25,0.75,0.75,1,1,1,1,0.25,0.75,0.1,1,0.25,0,0.5,1,1,1,0.666666666666667,1,0.5,1,0.75,1,1,1,0.5,1,0,0.75,0,0.5,0.5,1,1,0.5,1,0.25,0.5,0.25,0.25,0.5,0.5,0.25,0.6,1,0.75,0,0,0.5,0.5,0.5,1,1,0,0,1,0,0.5,0.75,0.0504201680672269,0,0.75,0,0.5,0,1,1,0.75,0,0,1,0.75,1,0.5,0.75,0.46,0,0.5,0,1,1,0.75,0.75,1,1,1,1,1,1,0.25,0.321428571428571,0,0,0.5,0.5,1,1
1,23,0.0458827186620768,0.75,1,0,3,0,1,0.5,0.5,1,0,0.5,1,1,0.5,0.5,0.5,0.5,1,1,1,0.5,1,0.5,0.5,0.5,1,1,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.75,0.5,1,0.5,0.75,0.5,0.5,0.166666666666667,0,0.75,0,0,1,1,1,1,1,1,1,1,0.75,0.75,1,0.5,0.75,0.0313725490196078,0,0.75,0,1,1,1,0.5,0.5,1,1,1,0.5,0.75,0.75,0.5,0.25,0.24,1,0.25,0.5,1,1,1,1,0.5,1,1,1,0.75,0.75,1,1,0.25,0.0833333333333333,1,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.25,0.75,0.25,0.5,0.75,0.5,0.0392156862745098,0,0.75,0.5,0.5,0.5,1,1,0.75,0.5,1,1,0.5,0.5,0.25,0.75,0.00740740740740741,0,0,0.5,1,1,1,1,1,0.75,0.75,1,0.5,0.5,0.75,0.2,1,1,0,0.5,0.5,0.5
1,26,1,1,0,1,2,0,1,1,1,1,0,0,1,1,1,0.5,0.5,0.5,1,1,1,1,1,0.5,1,0.5,1,1,0.5,1,1,1,1,0.5,1,0,1,0.5,1,1,1,1,0.5,0.5,0.5,1,0,1,0.5,0.5,1,1,0.75,0.5,0.25,1,0.0444444444444444,0,0.5,0.833333333333333,0,1,1,1,1,0.25,0.75,1,1,1,0.75,0.75,0.25,0.75,0.117647058823529,0,0.25,0,0,1,1,1,0.833333333333333,0.25,0.75,1,0.75,1,0.5,1,0.5,0.133333333333333,0,0.25,0,1,1,1,1,0.25,0.5,0.25,1,0.5,0.75,0.5,0.75,0.5,0.0333333333333333,0,1,0.5,1,1,1,0.5,1,0.5,0,0.25,0.75,0.75,0.5,0.75,0.053781512605042,0,1,0,1,0.5,1,1,0.5,0.25,0.25,1,0.25,0.75,1,1,0.00787037037037037,0,1,1,1,1,0.75,1,1,1,1,1,1,1,0.5,0.0714285714285714,0,0,1,1,1,1
1,21,0.218254943012042,0.5,1,0,4,0,1,1,1,1,0,0.5,1,1,0.5,0.5,1,1,1,1,1,1,1,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,1,0.5,0.75,0.75,1,0.0111111111111111,1,0.25,0.166666666666667,0,1,1,1,1,0.75,1,0.75,1,0.75,0.75,1,0.5,0.75,0.0261437908496732,1,0.75,0,1,1,1,1,0.333333333333333,0.75,0.75,0.75,0.75,1,1,1,0.5,0.133333333333333,1,0.75,0,1,1,1,1,0,1,0.75,1,1,0.75,1,1,0.25,0.0333333333333333,1,0.75,0,0.5,1,1,0.5,0.5,1,0.75,0.5,0.75,0.75,0.75,0.75,0.030812324929972,0,0.75,0,1,1,1,1,1,0.75,0.75,1,0.75,1,1,0.75,0.0222222222222222,0,0.5,1,1,1,1,0.75,1,1,1,1,1,1,0.25,0.0628571428571429,1,0,0.5,1,1,1
1,23,1,0.75,1,0.5,4,0,0.5,1,1,0.5,0,0,0.5,0,0.5,0,0.5,0,0.5,0.5,1,0,1,1,0.5,0.5,0.5,0,0,0,1,1,0.5,0,0.5,0,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.25,0.5,0.75,0,0.75,0.25,0.25,0.111111111111111,0,0.75,0.333333333333333,0,1,1,1,1,0.5,0.5,0.25,1,0.75,0.25,1,0.25,0.75,0.0156862745098039,1,0.75,0,1,1,1,1,0.833333333333333,0.25,0.25,0.75,0.75,0.75,0.75,0.75,0.25,0.0333333333333333,1,0.25,0.5,0.5,1,1,1,0.5,0.5,0.25,1,0.75,0.25,0.75,0.5,0.25,0.0833333333333333,1,0.75,0,0,1,1,1,1,0.75,0,0,0.5,0.25,0.5,1,0.053781512605042,0,0.75,0,1,0.5,1,1,0.75,0,0,1,0,0,0.75,0.75,0.0694444444444444,0,0,1,1,1,0,0.25,1,1,1,1,0.5,0,0.5,0.08,0,0,0,0.5,1,1
0,22,1,0.5,1,0.5,4,0,1,1,1,1,0,0,1,1,1,0.5,0.5,1,1,1,1,0.5,1,0.5,1,0.5,1,1,0.5,1,1,1,1,0,1,0,0,0,0.5,0.5,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,1,1,0.5,0.75,0.75,0.0222222222222222,0,0.25,0.666666666666667,0,1,1,1,1,0,0.5,0.75,1,1,0,0.5,0.25,0.5,0.166666666666667,0,0.75,0,1,1,1,1,0.333333333333333,0.5,0.75,1,1,0.5,0.5,0.5,0.25,0.0533333333333333,0,0.25,0,0.5,1,1,1,0.5,0.5,0.75,1,0.5,0.5,0.5,0.5,0.25,0.333333333333333,0,0.75,0,0.5,1,1,1,1,0.5,0.75,1,0.75,0.5,0.5,0.5,0.0549019607843137,0,0.75,0.5,1,0.5,1,1,0.5,0.5,1,1,0.5,0.75,0.5,0.5,0.263888888888889,0,1,1,1,1,0.5,0.5,1,1,0.5,0.5,0.75,0.75,0.5,0.118857142857143,0,0.5,0.5,1,1,1
1,23,1,0.75,1,0.5,3,0,0.5,0.5,1,1,0,0.5,1,0.5,0,0.5,0.5,0.5,0.5,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,0,0,1,0,0,0,0.5,0.5,1,1,1,0.5,0.5,0,1,1,0.5,0.25,0.5,1,0.5,0.5,0.75,1,0.0555555555555556,0,0.25,0,0,1,0.5,1,1,0.75,0.5,0.25,1,0.75,0.25,0.75,0.5,0.75,0.0980392156862745,0,1,0,1,1,1,1,0.666666666666667,0.5,0.5,1,0.75,1,1,1,0.5,0.0333333333333333,0,0.25,0,1,1,1,1,0.25,1,0.5,1,0.75,0,0.75,1,0.25,0.0333333333333333,1,1,0.5,0,1,1,1,0.5,1,0.25,0.25,0.75,0.25,0.5,0.75,0.128851540616246,0,1,0,1,0.5,1,1,0.5,0.25,0.25,0.75,0,0.5,0.75,1,0.0777777777777778,0,0,1,1,1,0.75,1,1,1,0.25,0.75,0.75,0.5,0.25,0.163047619047619,0,0,1,1,1,1
1,30,1,1,0,1,3,1,0.5,0.5,1,1,1,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,0.5,0.5,1,0.5,0.5,1,1,0.5,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0.5,0.5,1,1,0.25,0.75,1,1,0.75,0.75,0.75,0,0.5,0.05,1,0.25,0,1,1,1,1,0.833333333333333,0.75,1,1,1,1,0.75,1,0.5,0.133333333333333,0,0.5,0,1,1,1,1,0,1,0.5,0.5,0.75,0.5,0.5,0.75,0.75,0.333333333333333,1,1,0,1,1,0.5,0.5,0,0.5,0.5,0.5,0.75,0.75,0.5,0.75,0.0134453781512605,0,0.25,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0,1,0.75,0.5,0.00925925925925926,0,1,1,1,1,0,1,1,1,0,1,1,1,0.25,0.0106666666666667,0,0.5,0.5,0.5,1,1
1,22,1,0.5,1,0,3,0,1,1,1,0.5,1,0.5,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,1,1,0.5,1,1,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.0166666666666667,0,0.25,0.333333333333333,0,1,1,1,1,0,0.75,0.75,0.75,0.75,0.75,0.75,0.25,0.75,0.0261437908496732,1,0.25,0,1,1,1,1,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.0333333333333333,0,0.25,0,1,1,1,1,0.25,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.0833333333333333,1,0.25,1,0.5,1,1,1,0.5,0.75,0.5,0.25,0.75,0.5,0.75,0.75,0.0331465919701214,0,0.5,0,1,0.5,1,1,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.5,0.533333333333333,0,0.5,1,1,1,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.0106666666666667,0,0,0.5,0.5,1,1
1,25,0.0458827186620768,1,0,0.5,5,3,0.5,1,1,0.5,0,0.5,1,1,0.5,0.5,0.5,1,1,1,1,0.5,1,0.5,1,0.5,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,1,1,1,1,0.5,0.5,0.5,0.5,1,0.75,0.5,1,0.75,0.5,0.5,0.5,0.111111111111111,0,0.25,0.666666666666667,0,1,1,1,1,0.5,0.75,0.5,1,0.5,0.5,0.5,0.25,0.25,0.0326797385620915,0,0.25,0,1,1,1,1,0.666666666666667,0.75,0.5,1,0.75,0.75,0.5,0.75,0,0.24,0,0.5,0,1,1,1,1,0.5,0.75,0.5,0.75,0.5,0.5,0.5,0.75,0.5,0.0111111111111111,1,1,0.5,0.5,1,1,1,0,0.75,0.25,0.5,0.75,0.5,0.5,0.5,0.135854341736695,0,0.5,0,1,0.5,1,1,0.75,0.25,0.75,0.75,0.5,0.5,0.75,1,0.0486111111111111,0,0,1,1,1,0.75,0.75,1,0.75,0.75,0.75,0.75,0.5,0.25,0.148571428571429,0,1,0.5,0.5,1,1
1,25,0.0458827186620768,0.75,1,0,4,0,0.5,0.5,0.5,0.5,0,0.5,1,1,1,0.5,0.5,0.5,1,1,1,0.5,1,0.5,1,0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.25,0.75,1,1,0.75,0.5,1,0.1,0,0,0.333333333333333,0.5,1,0.5,0.5,0.5,0,0.75,0.75,0.75,0.75,0.75,0.75,0.25,1,0.00694444444444444,1,0,1,1,1,1,1,0.833333333333333,0.5,0.75,1,1,1,1,0.75,0.25,0.0533333333333333,0,0,0,0.5,1,0.5,1,0.5,1,0.5,0.75,0.5,0.25,0.75,0.75,0,0.333333333333333,1,1,0,1,1,0.5,0.5,0,0.25,0.25,0.5,1,0,0.75,0.5,0.136321195144725,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0.75,0.5,0.75,0.25,1,0.00925925925925926,0,0.5,1,1,1,0,1,1,0.75,1,0.5,0.75,0.75,0.25,0.12,0,1,0.5,0,1,1
1,23,0.218254943012042,0.75,1,0,2,0,0.5,1,0.5,1,0,0,1,1,1,0,0.5,0.5,1,1,0.5,0.5,1,1,1,0.5,1,0,1,1,1,1,0.5,0.5,1,0.5,1,1,1,1,1,1,0.5,0.5,0.5,1,0.5,1,1,1,1,1,0,0,0.5,0.5,0.111111111111111,0,0.25,0.333333333333333,1,1,1,1,1,1,1,0,1,0.75,0.25,1,0.5,1,0.05,1,0.25,0,1,1,1,1,0.833333333333333,1,0.5,0.75,0.75,1,1,1,0.5,0.0333333333333333,1,0.25,1,0,1,1,1,0.5,1,1,1,0.25,0.25,0.5,0.5,0,0.333333333333333,0,1,1,0,1,0,0,0.5,1,0,0,0.5,0,0,0,0.130718954248366,0,1,0,1,0.5,0,0.5,1,0,0,0.5,0,0.25,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0.5,0.5,0.25,0.137142857142857,0,0,0,0,1,1
1,20,1,0.5,1,0,1,0,0.5,1,0.5,0.5,0,0,0.5,1,0.5,0,0.5,0.5,1,0.5,1,1,1,0.5,0.5,0.5,1,0.5,0,0,0.5,0.5,0.5,0,1,0.5,0.5,1,1,0.5,1,1,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.75,1,0.5,0,0.75,1,0.176470588235294,0,0.25,0.333333333333333,0,1,1,1,1,0.5,0.75,0.5,1,1,0.25,0.75,0.5,0.75,0.0156862745098039,0,0.25,0,1,1,1,1,0.5,0.5,0.25,0.75,0.75,0.25,0.75,0.75,0.25,0.00444444444444444,0,0.25,0,0,1,1,1,0.5,0.75,0.25,0.75,0.75,0.5,0.75,0.75,0.25,0.133333333333333,1,0.75,0,0,1,1,1,0.5,0.5,0.25,0.5,1,0.25,0.5,0.75,0.242016806722689,0,0.75,0,1,0.5,1,1,0.75,0,0,1,0,0,1,0.75,0.0555555555555556,0,0,0,1,1,0.25,1,1,1,0.5,0.75,0.75,0,0.75,0.171428571428571,0,0,0.5,0.5,1,1
1,23,1,0.75,1,0.5,4,1,0.5,0.5,1,1,0,0.5,0.5,0.5,0.5,0.5,1,1,0.5,1,1,0.5,1,0.5,0.5,0,1,1,0.5,1,1,1,0.5,0.5,1,0.5,1,1,1,0,1,0.5,1,0.5,0.5,0.5,0,0.5,0.5,0.75,1,1,0.5,1,1,1,0.0444444444444444,0,0.25,0.666666666666667,0,1,0.5,1,1,0.25,0.75,1,1,1,1,1,0.25,0.75,0.0555555555555556,0,0.25,0,0.5,0.5,1,1,0.333333333333333,0.75,1,1,1,1,0.75,0.75,0.5,0.133333333333333,1,0.25,0,0.5,1,1,1,0.25,0.75,0.75,0.75,1,1,0.75,0.75,0.25,0.133333333333333,1,0.25,0,0,0.5,1,1,0.5,0.75,1,1,1,1,0.75,1,0.053781512605042,0,1,0,1,0.5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.5,1,1,0.5,0.75,1,1,1,1,1,0.75,0,0.024,0,0,0,0,1,1
1,28,0.0458827186620768,1,0,1,2,0,1,1,1,0.5,0,0,1,1,0.5,0.5,1,0,1,0,1,0.5,1,0.5,0.5,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0,0.5,1,1,0.5,0.5,0.5,0.5,0,1,0,0,0,1,1,0.75,0.5,0.25,0.0555555555555556,0,0.5,0,0,1,1,1,1,0.5,0.25,0,1,0.75,0.5,0.75,0,0.5,0.166666666666667,1,0.75,0,1,1,1,1,0.166666666666667,0,0,1,1,0.5,0.75,1,0.5,0.0333333333333333,0,0.5,0,1,1,1,1,0,0.25,0.25,1,0.5,0.5,0.5,0.5,0,0.0111111111111111,0,0.75,1,0.5,1,1,1,1,0,0,0.5,1,0.5,0.5,0.5,0.0336134453781513,0,0.5,0.5,1,0.5,1,1,0.5,0,0.5,1,0,0.25,0.5,0.5,0.0694444444444444,1,0,0.5,1,1,0.25,0.5,1,1,0.5,0.75,0.75,0.5,0.75,0.1,0,0,0,0,1,0.5
0,24,1,0.75,1,0,4,0,1,1,1,0,0,0,1,1,0.5,0.5,0.5,0.5,1,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.25,0.5,0.75,0.25,0.5,0.5,0.5,0.0888888888888889,1,0.25,0.333333333333333,0.5,0.5,0,1,1,1,0.25,0.5,1,0.5,1,0.5,0.25,0.75,0.111111111111111,0,0.25,1,1,1,1,1,0.666666666666667,0.5,0.5,0.5,1,1,0.75,0.5,0.25,0.133333333333333,0,0.25,0,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.25,0.5,0.5,0.333333333333333,1,0.25,0.5,0,1,0.5,0.5,0.5,0.5,0,0.25,0.75,0.5,0.25,0.5,0.955882352941177,0,0.75,0,1,0.5,1,1,0.75,0.25,0.5,0.5,0.25,0.5,0.5,0.75,0.708333333333333,0,0,0.5,0.5,0.5,0.5,0.5,1,0.75,0.75,0.5,0.75,0.5,0.5,0.271428571428571,0,0,0.5,1,1,1
1,25,1,0.75,1,0,5,0,0.5,0.5,1,1,1,0,1,0.5,0.5,0,0.5,1,1,1,1,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,1,1,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,1,0,1,1,1,0,0,1,1,0.75,0.75,1,0.75,1,0.5,0.25,0.111111111111111,0,0.25,0,0,1,1,1,1,0.25,0.75,1,1,0.5,1,1,0.25,1,0.583333333333333,1,0.25,0,1,1,1,1,0.333333333333333,0.75,1,1,1,1,0.75,0.5,0.5,1,0,0.25,0,0.5,1,1,1,0.5,1,0.5,1,0.75,0.5,0.75,0.5,0.25,0.333333333333333,1,1,0,0.5,1,1,1,1,0.75,0,0.5,0.75,1,0,1,0.127450980392157,0,1,0,1,1,1,1,1,0,1,1,0.5,0.5,0.75,1,0.277777777777778,0,0.5,1,1,1,0.75,1,1,1,1,0.5,0.75,0.75,0.25,0.428571428571429,0,0.5,0,1,1,1
1,26,1,1,0,0,3,1,1,1,1,0.5,0,0.5,1,0.5,0.5,1,1,0.5,1,1,1,0.5,1,0,0.5,0.5,1,1,1,1,1,1,0.5,0,0.5,0.5,0,0,0.5,1,1,1,0.5,0.5,0.5,1,0.5,1,1,0,0,1,0,0.5,0.5,0.5,0.0416666666666667,0,0,0,0,1,1,1,1,1,0.5,0.5,1,0.5,1,1,0,1,0.1,0,1,0,1,1,1,1,0.5,0.5,0.5,1,1,1,1,1,0.75,0.133333333333333,0,1,0,1,1,1,1,0.25,NA,NA,NA,NA,NA,NA,NA,NA,0.0111111111111111,0,NA,0.5,0.5,1,0.5,0.5,0,0.5,0,0,0.5,0,0,0,0.0330532212885154,0,1,0,1,0.5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.5,0.5,0.5,1,0.5,1,1,1,1,1,1,1,0.471428571428571,0,0,0,0.5,1,1
0,25,1,1,1,0.5,2,0,1,1,1,1,1,0,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,0,0.5,0,0,0,1,0.5,1,1,0,0,0.5,0.5,1,1,0.5,1,0,0,0.5,1,0,0.5,0,0,0,0,0.5,0.75,0.75,0.75,1,0,0.25,0.5,0.0222222222222222,0,0.25,0.666666666666667,0.5,1,0.5,1,0.5,0.5,0.75,0.5,0.75,1,0,0.75,0.5,0.75,0.196078431372549,0,0.75,0,1,1,0.5,1,0.5,0.75,0.5,0.75,0.75,0,0.5,0,0.25,0.0533333333333333,1,0.25,0.5,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0,0.5,0.75,0,0.0833333333333333,1,1,0,0,0.5,0,0.5,1,0.75,0.75,0.25,0.75,0,0,0,0.0549019607843137,0,1,0,1,0.5,1,0.5,0.75,0.75,0.25,0.5,0,0.5,0,1,0.0740740740740741,0,0,1,0,0.5,0.75,0.75,1,0.75,0,0.5,0.75,0.75,0.25,0.0585714285714286,0,1,0.5,1,1,0.5
0,32,1,1,0,1,4,0,0.5,0.5,1,0.5,0,0.5,0.5,1,1,0.5,1,1,0.5,1,1,0.5,1,0.5,0.5,0.5,1,0,0.5,1,1,1,0.5,0.5,1,1,1,1,1,0.5,1,1,0.5,0.5,1,1,0,0,0.5,0.5,0.25,1,0.5,1,0.75,0.5,0.166666666666667,0,0.5,0,0,1,0.5,1,1,0.25,0.75,0.25,1,0.25,1,1,0.5,1,0.0588235294117647,1,0.5,0,1,1,0.5,1,0.166666666666667,0.75,0.25,0.75,0.5,1,1,1,0.25,0.0533333333333333,0,0.5,0,1,1,1,1,0.25,1,0.25,1,0,0.25,1,0.75,0.25,0.0833333333333333,1,0.75,0.5,1,1,1,1,0.5,1,0.25,1,0.25,0.5,0,0.25,0.0627450980392157,0,0.75,0,1,1,0.5,1,1,0.25,1,1,0.25,1,0.5,0.75,0.118518518518519,0,1,1,1,1,0.75,0.75,1,0.75,1,1,0.5,0.5,0.75,0.148571428571429,1,0,1,1,1,1
